brand,cigar,market,retailer,stored_price,url,status
Hoyo de Monterrey,Hoyo de Monterrey Epicure No. 2,UK,cgars,£38.99,https://www.cgarsltd.co.uk/hoyo-monterrey-epicure-cigar-single-p-476.html?keywords=Hoyo+de+Monterrey+Epicure+No++2,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo de Rio Seco,UK,cgars,£53.49,https://www.cgarsltd.co.uk/hoyo-monterrey-hoyo-rio-seco-cigar-single-p-32544.html?keywords=Hoyo+de+Monterrey+Le+Hoyo+de+Rio+Seco,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo de San Juan,UK,cgars,£48.99,https://www.cgarsltd.co.uk/hoyo-monterrey-serie-hoyo-san-juan-cigar-single-p-15005.html?keywords=Hoyo+de+Monterrey+Le+Hoyo+de+San+Juan,ready to check
Hoyo de Monterrey,Hoyo de Monterrey Le Hoyo du Depute,UK,cgars,£19.99,https://www.cgarsltd.co.uk/hoyo-monterrey-hoyo-depute-cigar-single-p-481.html?keywords=Hoyo+de+Monterrey+Le+Hoyo+du+Depute,ready to check
Juan Lopez,Juan Lopez Seleccion No. 2,UK,cgars,£30.99,https://www.cgarsltd.co.uk/juan-lopez-seleccion-cigar-single-p-495.html?keywords=Juan+Lopez+Seleccion+No++2,ready to check
Juan Lopez,Juan Lopez Seleccion No.1,UK,cgars,£31.99,https://www.cgarsltd.co.uk/juan-lopez-seleccion-cigar-single-p-494.html?keywords=Juan+Lopez+Seleccion+No+1,ready to check
La Flor Dominicana,La Flor Dominicana Double Ligero Chiselito,UK,cgars,£20.49,https://www.cgarsltd.co.uk/flor-dominicana-double-ligero-chiselito-cigar-single-p-13943.html?keywords=La+Flor+Dominicana+Double+Ligero+Chiselito,ready to check
Montecristo,Montecristo Double Edmundo,UK,cgars,£50.49,https://www.cgarsltd.co.uk/montecristo-double-edmundo-cigar-single-p-13609.html?keywords=Montecristo+Double+Edmundo,ready to check
Montecristo,Montecristo Joyitas,UK,cgars,£15.29,https://www.cgarsltd.co.uk/montecristo-joyitas-cigar-single-p-504.html?keywords=Montecristo+Joyitas,ready to check
Montecristo,Montecristo Media Corona,UK,cgars,£20.49,https://www.cgarsltd.co.uk/montecristo-media-corona-cigar-single-p-16683.html?keywords=Montecristo+Media+Corona,ready to check
Montecristo,Montecristo No. 1,UK,cgars,£37.49,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-505.html?keywords=Montecristo+No++1,ready to check
Montecristo,Montecristo No. 2,UK,cgars,£46.49,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-506.html?keywords=Montecristo+No++2,ready to check
Montecristo,Montecristo No. 3,UK,cgars,£32.49,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-507.html,ready to check
Montecristo,Montecristo No. 4,UK,cgars,£25.99,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-508.html?keywords=Montecristo+No++4,ready to check
Montecristo,Montecristo No. 5,UK,cgars,£19.99,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-509.html?keywords=Montecristo+No+5,ready to check
Montecristo,Montecristo Open Eagle,UK,cgars,£48.79,https://www.cgarsltd.co.uk/montecristo-open-eagle-cigar-single-p-6747.html?keywords=Montecristo+Open+Eagle,ready to check
Montecristo,Montecristo Open Master,UK,cgars,£36.99,https://www.cgarsltd.co.uk/montecristo-open-master-cigar-single-p-6754.html?keywords=Montecristo+Open+Master,ready to check
Montecristo,Montecristo Open Regata,UK,cgars,£29.99,https://www.cgarsltd.co.uk/montecristo-open-regata-cigar-single-p-6752.html?keywords=Montecristo+Open+Regata,ready to check
Montecristo,Montecristo Petit Edmundo,UK,cgars,£35.49,https://www.cgarsltd.co.uk/montecristo-petit-edmundo-cigar-single-p-809.html?keywords=Montecristo+Petit+Edmundo,ready to check
My Father,My Father Flor de Las Antillas Robusto,UK,cgars,£24.99,https://www.cgarsltd.co.uk/,ready to check
My Father,My Father La Opulencia Robusto,UK,cgars,£26.99,https://www.cgarsltd.co.uk/,ready to check
My Father,My Father Le Bijou 1922 Torpedo Box Press,UK,cgars,£46.99,https://www.cgarsltd.co.uk/father-bijou-1922-torpedo-box-pressed-cigar-single-p-28899.html,ready to check
Oliva,Oliva Serie G Robusto,UK,cgars,£19.49,https://www.cgarsltd.co.uk/oliva-serie-maduro-robusto-cigar-single-p-7146.html?keywords=Oliva+Serie+G+Robusto,ready to check
Oliva,Oliva Serie O Robusto,UK,cgars,£21.99,https://www.cgarsltd.co.uk/oliva-serie-robusto-cigar-single-p-6885.html?keywords=Oliva+Serie+O+Robusto,ready to check
Oliva,Oliva Serie V Double Robusto,UK,cgars,£26.49,https://www.cgarsltd.co.uk/oliva-serie-double-robusto-cigar-single-p-9098.html?keywords=Oliva+Serie+V+Double+Robusto,ready to check
Oliva,Oliva Serie V Lancero,UK,cgars,£20.49,https://www.cgarsltd.co.uk/oliva-serie-liga-especial-lancero-cigar-single-p-56168.html?keywords=Oliva+Serie+V+Lancero,ready to check
