cigar,retailer,price,url
Montecristo No.2,cigarworld,44.50,https://cigarworld.co.uk/products/montecristo-no-2-single?_pos=1&_psq=Montecristo+No.2&_ss=e&_v=1.0
Montecristo No.3,cgars,32.49,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-507.html
Montecristo No.3,havanahouse,32.50,https://www.havanahouse.co.uk/product/montecristo-no-3-cigar-single/
Montecristo No.3,simplycigars,33.48,https://www.simplycigars.co.uk/montecristo-no3-cigar-single-cigar-p-517.html
Montecristo No.3,egm,24.99,https://egmcigars.com/en-gb/products/montecristo-no-3?variant=9075175522351
Montecristo No.3,cigarworld,31.50,https://cigarworld.co.uk/products/montecristo-no-3-single?_pos=1&_psq=Montecristo+No.3&_ss=e&_v=1.0
Montecristo No.4,cgars,25.99,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-508.html?keywords=Montecristo+No+4
Montecristo No.4,havanahouse,26.40,https://www.havanahouse.co.uk/product/montecristo-no-4-cigar-single/
Montecristo No.4,simplycigars,28.36,https://www.simplycigars.co.uk/montecristo-no4-cigar-single-cigar-p-518.html
Montecristo No.4,egm,15.99,https://egmcigars.com/en-gb/products/montecristo-no-4?variant=9008384770095
Montecristo No.4,cigarworld,25.20,https://cigarworld.co.uk/products/montecristo-no-4-single?_pos=2&_sid=14e4021ec&_ss=r
Plasencia Alma Fuerte Generacion V,cgars,34.99,https://www.cgarsltd.co.uk/plasencia-alma-fuerte-generacion-cigar-single-p-30358.html?keywords=Plasencia+Alma+Fuerte+Generacion+V
Plasencia Alma Fuerte Generacion V,havanahouse,35,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-generacion-v-cigar-single/
Plasencia Alma Fuerte Generacion V,simplycigars,36.28,https://www.simplycigars.co.uk/plasencia-alma-fuerte-generacion-cigar-single-p-3948.html
Plasencia Alma Fuerte Generacion V,egm,21.99,https://egmcigars.com/en-gb/products/plasencia-alma-fuerte-generacion-v-cigar?variant=43665364287745
Plasencia Alma Fuerte Generacion V,cigarworld,35,https://cigarworld.co.uk/products/plasencia-alma-fuerte-generacion-v-cigar-1-single?_pos=1&_psq=Plasencia+Alma+Fuerte+Generacion+V&_ss=e&_v=1.0
